scenario_id,city,name,valence,alpha,base_pref,steered_pref
S2,Boston,Beacon Hill,affluent,-0.25,-0.9583333333333339,-0.875
S2,Boston,Beacon Hill,affluent,0.0,-0.9583333333333339,-0.9583333333333339
S2,Boston,Brookline,affluent,-2.0,-0.791666666666667,-0.75
S2,Boston,Brookline,affluent,-1.75,-0.791666666666667,-0.75
S2,Boston,Brookline,affluent,-1.5,-0.791666666666667,-0.75
S2,Boston,Brookline,affluent,-1.25,-0.791666666666667,-0.75
S2,Boston,Brookline,affluent,-1.0,-0.791666666666667,-0.708333333333333
S2,Boston,Brookline,affluent,-0.75,-0.791666666666667,-0.75
S2,Boston,Brookline,affluent,-0.5,-0.791666666666667,-0.75
S2,Boston,Brookline,affluent,-0.25,-0.791666666666667,-0.75
S2,Boston,Brookline,affluent,0.0,-0.791666666666667,-0.791666666666667
S2,Boston,Roxbury,under_resourced,-2.0,-0.5,-0.5
S2,Boston,Roxbury,under_resourced,-1.75,-0.5,-0.5
S2,Boston,Roxbury,under_resourced,-1.5,-0.5,-0.5
S2,Boston,Roxbury,under_resourced,-1.25,-0.5,-0.45833333333333304
S2,Boston,Roxbury,under_resourced,-1.0,-0.5,-0.5
S2,Boston,Roxbury,under_resourced,-0.75,-0.5,-0.5
S2,Boston,Roxbury,under_resourced,-0.5,-0.5,-0.45833333333333304
S2,Boston,Roxbury,under_resourced,-0.25,-0.5,-0.5
S2,Boston,Roxbury,under_resourced,0.0,-0.5,-0.5
S2,Boston,Dorchester,under_resourced,-2.0,-0.791666666666667,-0.75
S2,Boston,Dorchester,under_resourced,-1.75,-0.791666666666667,-0.7916666666666661
S2,Boston,Dorchester,under_resourced,-1.5,-0.791666666666667,-0.75
S2,Boston,Dorchester,under_resourced,-1.25,-0.791666666666667,-0.791666666666667
S2,Boston,Dorchester,under_resourced,-1.0,-0.791666666666667,-0.75
S2,Boston,Dorchester,under_resourced,-0.75,-0.791666666666667,-0.7916666666666661
S2,Boston,Dorchester,under_resourced,-0.5,-0.791666666666667,-0.8333333333333339
S2,Boston,Dorchester,under_resourced,-0.25,-0.791666666666667,-0.791666666666667
