scenario_id,city,name,valence,token_count,semantic_transparency,mean_pref,std_pref,delta_from_baseline
S5,Boston,Roxbury,under_resourced,1,opaque,3.1302083333333335,1.6905729051671166,1.5885416666666667
S5,Chicago,Austin,under_resourced,1,opaque,2.682291666666666,1.811531909406041,1.1406249999999993
S5,Chicago,Englewood,under_resourced,1,semi,2.828125,1.5818135066775123,1.2864583333333333
S5,Chicago,Harvey,under_resourced,1,opaque,2.4166666666666665,1.7452813367604791,0.8749999999999998
S5,Chicago,Lakeview,affluent,1,transparent,2.541666666666667,1.7817880116665168,1.0000000000000002
S5,Chicago,Lincoln Park,affluent,2,transparent,2.526041666666667,1.8108129920369003,0.9843750000000002
S5,Chicago,Winnetka,affluent,1,opaque,2.5625,1.7940068695933553,1.0208333333333333
S5,Los Angeles,Beverly Grove,affluent,2,transparent,2.536458333333333,1.6422142875409722,0.9947916666666663
S5,Los Angeles,Brentwood,affluent,1,semi,2.609375,1.7263929393444932,1.0677083333333333
S5,Los Angeles,Compton,under_resourced,1,opaque,2.46875,1.44922752411989,0.9270833333333333
S5,Los Angeles,Inglewood,under_resourced,1,semi,2.7552083333333335,1.549657873681466,1.2135416666666667
S5,Los Angeles,Pasadena,affluent,1,opaque,2.786458333333333,1.6908296198141142,1.2447916666666663
S5,Los Angeles,Watts,under_resourced,1,opaque,3.151041666666667,1.4069699802991407,1.6093750000000002
S6,Boston,Back Bay,affluent,2,transparent,3.166666666666667,1.2991494724826131,0.19791666666666696
S6,Boston,Beacon Hill,affluent,2,transparent,3.630208333333333,1.213157873264219,0.661458333333333
S6,Boston,Brookline,affluent,1,semi,4.03125,1.1066533842911077,1.0625
S6,Boston,Chelsea,under_resourced,1,opaque,3.416666666666666,1.3049274493810556,0.4479166666666661
S6,Boston,Dorchester,under_resourced,1,opaque,3.817708333333333,1.091764070082095,0.848958333333333
S6,Boston,Roxbury,under_resourced,1,opaque,4.005208333333333,1.04421563133398,1.036458333333333
S6,Chicago,Austin,under_resourced,1,opaque,3.619791666666667,1.2813629128205062,0.651041666666667
S6,Chicago,Englewood,under_resourced,1,semi,3.6562499999999996,1.0508621901051498,0.6874999999999996
S6,Chicago,Harvey,under_resourced,1,opaque,3.2916666666666665,1.3186035332038881,0.3229166666666665
