label,layer,site,alpha,base_pref,steered_pref,delta_steer
affluent_Pasadena,20,name_first,-0.5,-0.6666666666666661,-0.75,-0.08333333333333393
affluent_Pasadena,20,answer_pos,-0.5,-0.6666666666666661,-0.791666666666667,-0.1250000000000009
affluent_Pasadena,20,name_first,0.5,-0.6666666666666661,-0.7083333333333339,-0.04166666666666785
affluent_Pasadena,20,answer_pos,0.5,-0.6666666666666661,-0.5416666666666661,0.125
affluent_Pasadena,20,name_first,1.0,-0.6666666666666661,-0.75,-0.08333333333333393
affluent_Pasadena,20,answer_pos,1.0,-0.6666666666666661,-0.375,0.2916666666666661
affluent_Pasadena,20,name_first,2.0,-0.6666666666666661,-0.75,-0.08333333333333393
affluent_Pasadena,20,answer_pos,2.0,-0.6666666666666661,-0.041666666666666075,0.625
affluent_Pasadena,20,name_first,3.0,-0.6666666666666661,-0.666666666666667,-8.881784197001252e-16
affluent_Pasadena,20,answer_pos,3.0,-0.6666666666666661,0.20833333333333348,0.8749999999999996
affluent_Pasadena,22,name_first,-3.0,-0.6666666666666661,-0.666666666666667,-8.881784197001252e-16
affluent_Pasadena,22,answer_pos,-3.0,-0.6666666666666661,1.4739583333333333,2.140624999999999
affluent_Pasadena,22,name_first,-2.0,-0.6666666666666661,-0.6666666666666661,0.0
affluent_Pasadena,22,answer_pos,-2.0,-0.6666666666666661,0.04166666666666696,0.708333333333333
affluent_Pasadena,22,name_first,-1.0,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
affluent_Pasadena,22,answer_pos,-1.0,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
affluent_Pasadena,22,name_first,-0.5,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
affluent_Pasadena,22,answer_pos,-0.5,-0.6666666666666661,-0.7916666666666661,-0.125
affluent_Pasadena,22,name_first,0.5,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
affluent_Pasadena,22,answer_pos,0.5,-0.6666666666666661,-0.45833333333333304,0.20833333333333304
affluent_Pasadena,22,name_first,1.0,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
affluent_Pasadena,22,answer_pos,1.0,-0.6666666666666661,-0.16666666666666607,0.5
affluent_Pasadena,22,name_first,2.0,-0.6666666666666661,-0.708333333333333,-0.04166666666666696
affluent_Pasadena,22,answer_pos,2.0,-0.6666666666666661,0.4583333333333339,1.125
affluent_Pasadena,22,name_first,3.0,-0.6666666666666661,-0.6666666666666661,0.0
affluent_Pasadena,22,answer_pos,3.0,-0.6666666666666661,0.5729166666666665,1.2395833333333326
under_Roxbury,20,name_first,-3.0,-0.375,-0.375,0.0
under_Roxbury,20,answer_pos,-3.0,-0.375,1.442708333333333,1.817708333333333
under_Roxbury,20,name_first,-2.0,-0.375,-0.45833333333333304,-0.08333333333333304
under_Roxbury,20,answer_pos,-2.0,-0.375,0.5625,0.9375
under_Roxbury,20,name_first,-1.0,-0.375,-0.4166666666666661,-0.041666666666666075
under_Roxbury,20,answer_pos,-1.0,-0.375,-0.4166666666666661,-0.041666666666666075
under_Roxbury,20,name_first,-0.5,-0.375,-0.41666666666666696,-0.04166666666666696
under_Roxbury,20,answer_pos,-0.5,-0.375,-0.45833333333333304,-0.08333333333333304
under_Roxbury,20,name_first,0.5,-0.375,-0.4166666666666661,-0.041666666666666075
under_Roxbury,20,answer_pos,0.5,-0.375,-0.29166666666666696,0.08333333333333304
under_Roxbury,20,name_first,1.0,-0.375,-0.4583333333333339,-0.08333333333333393
under_Roxbury,20,answer_pos,1.0,-0.375,-0.16666666666666607,0.20833333333333393
under_Roxbury,20,name_first,2.0,-0.375,-0.41666666666666696,-0.04166666666666696
under_Roxbury,20,answer_pos,2.0,-0.375,0.25,0.625
under_Roxbury,20,name_first,3.0,-0.375,-0.41666666666666696,-0.04166666666666696
under_Roxbury,20,answer_pos,3.0,-0.375,0.4583333333333335,0.8333333333333335
under_Roxbury,22,name_first,-3.0,-0.375,-0.375,0.0
under_Roxbury,22,answer_pos,-3.0,-0.375,1.588541666666667,1.963541666666667
under_Roxbury,22,name_first,-2.0,-0.375,-0.41666666666666696,-0.04166666666666696
under_Roxbury,22,answer_pos,-2.0,-0.375,0.2916666666666661,0.6666666666666661
under_Roxbury,22,name_first,-1.0,-0.375,-0.45833333333333304,-0.08333333333333304
under_Roxbury,22,answer_pos,-1.0,-0.375,-0.45833333333333304,-0.08333333333333304
under_Roxbury,22,name_first,-0.5,-0.375,-0.41666666666666696,-0.04166666666666696
under_Roxbury,22,answer_pos,-0.5,-0.375,-0.4583333333333339,-0.08333333333333393
under_Roxbury,22,name_first,0.5,-0.375,-0.4166666666666661,-0.041666666666666075
under_Roxbury,22,answer_pos,0.5,-0.375,-0.16666666666666607,0.20833333333333393
under_Roxbury,22,name_first,1.0,-0.375,-0.41666666666666696,-0.04166666666666696
under_Roxbury,22,answer_pos,1.0,-0.375,0.16666666666666607,0.5416666666666661
under_Roxbury,22,name_first,2.0,-0.375,-0.4583333333333339,-0.08333333333333393
under_Roxbury,22,answer_pos,2.0,-0.375,0.7916666666666661,1.166666666666666
under_Roxbury,22,name_first,3.0,-0.375,-0.45833333333333304,-0.08333333333333304
under_Roxbury,22,answer_pos,3.0,-0.375,0.9062500000000002,1.2812500000000002
under_Englewood,20,name_first,-3.0,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,20,answer_pos,-3.0,-0.583333333333333,1.296875,1.880208333333333
under_Englewood,20,name_first,-2.0,-0.583333333333333,-0.583333333333333,0.0
under_Englewood,20,answer_pos,-2.0,-0.583333333333333,0.375,0.958333333333333
under_Englewood,20,name_first,-1.0,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,20,answer_pos,-1.0,-0.583333333333333,-0.666666666666667,-0.08333333333333393
under_Englewood,20,name_first,-0.5,-0.583333333333333,-0.583333333333333,0.0
under_Englewood,20,answer_pos,-0.5,-0.583333333333333,-0.708333333333333,-0.125
under_Englewood,20,name_first,0.5,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,20,answer_pos,0.5,-0.583333333333333,-0.5,0.08333333333333304
under_Englewood,20,name_first,1.0,-0.583333333333333,-0.583333333333333,0.0
under_Englewood,20,answer_pos,1.0,-0.583333333333333,-0.3333333333333339,0.2499999999999991
under_Englewood,20,name_first,2.0,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,20,answer_pos,2.0,-0.583333333333333,0.08333333333333393,0.666666666666667
under_Englewood,20,name_first,3.0,-0.583333333333333,-0.5416666666666661,0.04166666666666696
under_Englewood,20,answer_pos,3.0,-0.583333333333333,0.3541666666666665,0.9374999999999996
under_Englewood,22,name_first,-3.0,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,22,answer_pos,-3.0,-0.583333333333333,1.3906250000000002,1.9739583333333333
under_Englewood,22,name_first,-2.0,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,22,answer_pos,-2.0,-0.583333333333333,0.020833333333333925,0.604166666666667
under_Englewood,22,name_first,-1.0,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,22,answer_pos,-1.0,-0.583333333333333,-0.708333333333333,-0.125
under_Englewood,22,name_first,-0.5,-0.583333333333333,-0.583333333333333,0.0
under_Englewood,22,answer_pos,-0.5,-0.583333333333333,-0.708333333333333,-0.125
under_Englewood,22,name_first,0.5,-0.583333333333333,-0.625,-0.04166666666666696
under_Englewood,22,answer_pos,0.5,-0.583333333333333,-0.3333333333333339,0.2499999999999991
under_Englewood,22,name_first,1.0,-0.583333333333333,-0.583333333333333,0.0
under_Englewood,22,answer_pos,1.0,-0.583333333333333,-0.08333333333333304,0.5
under_Englewood,22,name_first,2.0,-0.583333333333333,-0.583333333333333,0.0
under_Englewood,22,answer_pos,2.0,-0.583333333333333,0.625,1.208333333333333
under_Englewood,22,name_first,3.0,-0.583333333333333,-0.5,0.08333333333333304
under_Englewood,22,answer_pos,3.0,-0.583333333333333,0.8229166666666667,1.4062499999999998
under_Watts,20,name_first,-3.0,-0.16666666666666696,-0.20833333333333304,-0.041666666666666075
under_Watts,20,answer_pos,-3.0,-0.16666666666666696,1.5052083333333335,1.6718750000000004
under_Watts,20,name_first,-2.0,-0.16666666666666696,-0.25,-0.08333333333333304
under_Watts,20,answer_pos,-2.0,-0.16666666666666696,0.625,0.791666666666667
